Shingle size: 4	 n: 250
Bible_1.txt	Bible_2.txt 	 0.008
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.004
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.004
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.02
Bible_3.txt	A-Christmas-Carol.txt 	 0.012
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
Frankenstein.txt	A-Christmas-Carol.txt 	 0.028
Shingle size: 5	 n: 250
Bible_1.txt	Bible_2.txt 	 0.0
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.0
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.004
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.0
Bible_3.txt	A-Christmas-Carol.txt 	 0.0
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
Frankenstein.txt	A-Christmas-Carol.txt 	 0.012
Shingle size: 6	 n: 250
Bible_1.txt	Bible_2.txt 	 0.0
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.0
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.0
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.004
Bible_3.txt	A-Christmas-Carol.txt 	 0.0
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
Frankenstein.txt	A-Christmas-Carol.txt 	 0.0
Shingle size: 7	 n: 250
Bible_1.txt	Bible_2.txt 	 0.0
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.0
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.0
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.008
Bible_3.txt	A-Christmas-Carol.txt 	 0.0
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
Frankenstein.txt	A-Christmas-Carol.txt 	 0.0
Shingle size: 8	 n: 250
Bible_1.txt	Bible_2.txt 	 0.0
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.0
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.0
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.0
Bible_3.txt	A-Christmas-Carol.txt 	 0.0
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
Frankenstein.txt	A-Christmas-Carol.txt 	 0.0
Shingle size: 9	 n: 250
Bible_1.txt	Bible_2.txt 	 0.0
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.0
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.0
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.0
Bible_3.txt	A-Christmas-Carol.txt 	 0.0
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
Frankenstein.txt	A-Christmas-Carol.txt 	 0.004
Shingle size: 10	 n: 250
Bible_1.txt	Bible_2.txt 	 0.0
Bible_1.txt	Bible_3.txt 	 0.0
Bible_1.txt	Alice.txt 	 0.0
Bible_1.txt	Frankenstein.txt 	 0.0
Bible_1.txt	A-Christmas-Carol.txt 	 0.0
Bible_2.txt	Bible_3.txt 	 0.0
Bible_2.txt	Alice.txt 	 0.0
Bible_2.txt	Frankenstein.txt 	 0.0
Bible_2.txt	A-Christmas-Carol.txt 	 0.0
Bible_3.txt	Alice.txt 	 0.0
Bible_3.txt	Frankenstein.txt 	 0.0
Bible_3.txt	A-Christmas-Carol.txt 	 0.0
Alice.txt	Frankenstein.txt 	 0.0
Alice.txt	A-Christmas-Carol.txt 	 0.0
